"ethnicity_labels","n","tot","percent"
"black",1177,111898,1.0518507926862
"chinese",258,111898,0.230567123630449
"mixed",516,111898,0.461134247260898
"other",781,111898,0.697957068044112
"se_asian",2466,111898,2.20379273981662
"white",106198,111898,94.9060751756063
NA,502,111898,0.44862285295537
