"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_gen_37","3","23622","6.15489797646262","4.66666666666667","0.628913872658883","0.627225267226429","0.630602478091337"
"PI_mort_37","4","23358","6.29403202328966","4.75","0.535167310236893","0.532977511195019","0.537357109278768"
"PI_mort_20","4","23358","6.29403202328966","4.75","0.536625588663907","0.534438115303173","0.538813062024641"
"PI_hosp_37","4","23358","6.29403202328966","4.75","0.574150974344143","0.571976414864107","0.576325533824179"
"PI_hosp_20","4","23358","6.29403202328966","4.75","0.573401841927914","0.571222749593428","0.575580934262399"
"num_mm_37","4","23358","6.29403202328966","4.75","0.629092699518039","0.627438901398577","0.6307464976375"
"num_mm_20","4","23358","6.29403202328966","4.75","0.616048508841575","0.614417717022888","0.617679300660263"
"PI_cons_NB_37","4","23358","6.29403202328966","4.75","0.620205009069734","0.618124148386951","0.622285869752517"
"PI_cons_NB_20","4","23358","6.29403202328966","4.75","0.609782958640348","0.607676039072893","0.611889878207802"
"PI_gen_37","4","23358","6.29403202328966","4.75","0.629737475161154","0.628054969407038","0.631419980915269"
"PI_mort_37","5","23028","6.35975334375543","5","0.53576034079583","0.533560419542577","0.537960262049082"
"PI_mort_20","5","23028","6.35975334375543","5","0.537201698499518","0.535003927978678","0.539399469020359"
"PI_hosp_37","5","23028","6.35975334375543","5","0.575006967371127","0.572823656488278","0.577190278253976"
"PI_hosp_20","5","23028","6.35975334375543","5","0.574205375968297","0.572017707725711","0.576393044210884"
"num_mm_37","5","23028","6.35975334375543","5","0.630268921369031","0.628613384684878","0.631924458053185"
"num_mm_20","5","23028","6.35975334375543","5","0.617087181376737","0.615452946515954","0.61872141623752"
"PI_cons_NB_37","5","23028","6.35975334375543","5","0.621329455063696","0.61924293735394","0.623415972773452"
"PI_cons_NB_20","5","23028","6.35975334375543","5","0.610836954073552","0.608723655603901","0.612950252543204"
"PI_gen_37","5","23028","6.35975334375543","5","0.630990375875315","0.629305241848476","0.632675509902153"
"PI_mort_37","6","22468","6.42404011631357","5","0.534470225049388","0.532250291790862","0.536690158307914"
"PI_mort_20","6","22468","6.42404011631357","5","0.535940584224963","0.533722860150131","0.538158308299795"
"PI_hosp_37","6","22468","6.42404011631357","5","0.573687698986007","0.571481726596451","0.575893671375562"
"PI_hosp_20","6","22468","6.42404011631357","5","0.572809556008006","0.570599672613224","0.575019439402788"
"num_mm_37","6","22468","6.42404011631357","5","0.630018105608715","0.628346189322432","0.631690021894997"
"num_mm_20","6","22468","6.42404011631357","5","0.616893151625561","0.615242789649756","0.618543513601367"
"PI_cons_NB_37","6","22468","6.42404011631357","5","0.620384667747447","0.618272081854182","0.622497253640713"
"PI_cons_NB_20","6","22468","6.42404011631357","5","0.609764099084642","0.607625549171259","0.611902648998026"
"PI_gen_37","6","22468","6.42404011631357","5","0.63074482370222","0.629043239221287","0.632446408183153"
"PI_mort_37","7","12827","6.45653699228191","5.14285714285714","0.538250995168316","0.535329584162734","0.541172406173898"
"PI_mort_20","7","12827","6.45653699228191","5.14285714285714","0.539858576412559","0.536941059913741","0.542776092911377"
"PI_hosp_37","7","12827","6.45653699228191","5.14285714285714","0.57803123372076","0.57513205565861","0.580930411782909"
"PI_hosp_20","7","12827","6.45653699228191","5.14285714285714","0.577351284229606","0.574449380496099","0.580253187963112"
"num_mm_37","7","12827","6.45653699228191","5.14285714285714","0.628769555746684","0.626576552281213","0.630962559212155"
"num_mm_20","7","12827","6.45653699228191","5.14285714285714","0.615516176663516","0.613343638743976","0.617688714583056"
"PI_cons_NB_37","7","12827","6.45653699228191","5.14285714285714","0.623645926211618","0.620859012825188","0.626432839598047"
"PI_cons_NB_20","7","12827","6.45653699228191","5.14285714285714","0.61350794759495","0.6106878995492","0.616327995640699"
"PI_gen_37","7","12827","6.45653699228191","5.14285714285714","0.629999482300695","0.627760374299464","0.632238590301926"
"PI_mort_37","8","2546","6.81770424194815","5.375","0.545531177584267","0.539023457476935","0.5520388976916"
"PI_mort_20","8","2546","6.81770424194815","5.375","0.547090181517946","0.540602551553957","0.553577811481935"
"PI_hosp_37","8","2546","6.81770424194815","5.375","0.58776209974133","0.581310583525599","0.594213615957061"
"PI_hosp_20","8","2546","6.81770424194815","5.375","0.586947987887163","0.580489112849255","0.593406862925071"
"num_mm_37","8","2546","6.81770424194815","5.375","0.636340038713186","0.631433974434462","0.641246102991909"
"num_mm_20","8","2546","6.81770424194815","5.375","0.625286233122223","0.620377665661216","0.630194800583231"
"PI_cons_NB_37","8","2546","6.81770424194815","5.375","0.632228477638895","0.626050594219047","0.638406361058743"
"PI_cons_NB_20","8","2546","6.81770424194815","5.375","0.6220804533334","0.615824972521217","0.628335934145583"
"PI_gen_37","8","2546","6.81770424194815","5.375","0.638224874469003","0.633183034241857","0.64326671469615"
