"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"PI_mort_37","1","50117","9.96945148352854","8","0.557515661851395","0.556010455131669","0.559020868571121"
"PI_mort_20","1","50117","9.96945148352854","8","0.558403212428685","0.556898020791233","0.559908404066137"
"PI_hosp_37","1","50117","9.96945148352854","8","0.600883803965792","0.599421280070468","0.602346327861115"
"PI_hosp_20","1","50117","9.96945148352854","8","0.60043922452353","0.598976695634542","0.601901753412519"
"num_mm_37","1","50117","9.96945148352854","8","0.649191533059129","0.647897848043466","0.650485218074792"
"num_mm_20","1","50117","9.96945148352854","8","0.642646097307596","0.641369615908235","0.643922578706957"
"PI_cons_NB_37","1","50117","9.96945148352854","8","0.627602320556336","0.626167576349792","0.629037064762881"
"PI_cons_NB_20","1","50117","9.96945148352854","8","0.620373806279747","0.618930103343909","0.621817509215585"
"PI_gen_37","1","50117","9.96945148352854","8","0.649400557381913","0.64807182136579","0.650729293398036"
"PI_mort_37","2","49567","10.0179554945831","8.5","0.561416259804809","0.559938544205269","0.562893975404349"
"PI_mort_20","2","49567","10.0179554945831","8.5","0.562336296508732","0.560858652670325","0.563813940347139"
"PI_hosp_37","2","49567","10.0179554945831","8.5","0.606881025952315","0.605452727208528","0.608309324696102"
"PI_hosp_20","2","49567","10.0179554945831","8.5","0.606378241189124","0.604949477251963","0.607807005126285"
"num_mm_37","2","49567","10.0179554945831","8.5","0.65715248612752","0.655906759495936","0.658398212759103"
"num_mm_20","2","49567","10.0179554945831","8.5","0.649904805326168","0.648672822034714","0.651136788617623"
"PI_cons_NB_37","2","49567","10.0179554945831","8.5","0.634719226911818","0.633323642559744","0.636114811263892"
"PI_cons_NB_20","2","49567","10.0179554945831","8.5","0.62714068404707","0.6257337983492","0.62854756974494"
"PI_gen_37","2","49567","10.0179554945831","8.5","0.657307746426286","0.656023112715446","0.658592380137126"
"PI_mort_37","3","48904","10.1033316974753","8.66666666666667","0.562489034452937","0.561008921585136","0.563969147320737"
"PI_mort_20","3","48904","10.1033316974753","8.66666666666667","0.563440555363174","0.561960688117932","0.564920422608416"
"PI_hosp_37","3","48904","10.1033316974753","8.66666666666667","0.608062206743983","0.606631324899144","0.609493088588823"
"PI_hosp_20","3","48904","10.1033316974753","8.66666666666667","0.607631499157332","0.606200736226339","0.609062262088326"
"num_mm_37","3","48904","10.1033316974753","8.66666666666667","0.658098159237187","0.656857665130799","0.659338653343576"
"num_mm_20","3","48904","10.1033316974753","8.66666666666667","0.650500642646961","0.649273310995549","0.651727974298372"
"PI_cons_NB_37","3","48904","10.1033316974753","8.66666666666667","0.635514287356566","0.634119366927627","0.636909207785506"
"PI_cons_NB_20","3","48904","10.1033316974753","8.66666666666667","0.627894975567378","0.626487985100465","0.629301966034291"
"PI_gen_37","3","48904","10.1033316974753","8.66666666666667","0.658258473784381","0.656980473464751","0.659536474104011"
